imdb_title_id,G/B,year,date_published,month_published,duration,directors_rating,actors_rating,Comedy,Drama,Horror,Musical,Action,Crime,Animation,Adventure,Biography,Family,Thriller,Fantasy,Romance,Sci-Fi,Mystery,War,Western,Music,Sport,History
tt10975452,1,2019,2019/10/18,10,122,,7.48,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1375666,1,2010,2010/7/16,7,148,8.35,7.66,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
tt1754109,1,2010,2010/10/3,10,178,7.4,7.38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt2008009,1,2010,2010/10/15,10,3360,,7.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2077886,1,2011,2011/10/2,10,137,7.4,7.52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt2311530,1,2019,2019/3/26,3,88,,6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt3505898,1,2019,2019/5/19,5,82,,6.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt4360094,1,2017,2017/3/23,3,114,,6.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt4662396,1,2017,2019/1/1,1,85,,6.72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt4909506,1,2016,2016/6/3,6,144,,8.15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt5008256,1,2017,2017/4/14,4,109,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt5190958,1,2015,2015/11/12,11,162,,6.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt5266470,1,2019,2019/11/1,11,100,,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt5439424,1,2016,2017/12/22,12,120,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
